"Hospital Location","Insurance","Surgery","Category","Unit","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Gangwon","Total","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","4272","4986","4667","4305","4451","4319","4572","4301","4266","4503","4452","4226","4115","4198","4327","4353","4589",
"Gangwon","Total","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","4273","4992","4669","4309","4454","4322","4578","4307","4269","4507","4455","4234","4117","4201","4338","4373","4639",
"Gangwon","Total","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","263","259","270","224","233","215","188","203","666","714","707","688","772","739","736","708","775",
"Gangwon","Total","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","269","268","273","233","238","223","199","212","697","739","738","714","821","816","822","789","889",
"Gangwon","Total","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","565","546","643","780","945","922","1058","1092","1082","1232","1549","1583","1622","1830","1673","1679","1799",
"Gangwon","Total","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","603","571","668","806","966","944","1081","1181","1180","1332","1638","1711","1753","1974","1803","1803","2007",
"Gangwon","Total","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","137","168","207","55","430","429","339","360","382","374","494","472","560","542","548","647","633",
"Gangwon","Total","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","137","169","211","57","434","433","346","366","392","384","508","480","575","570","582","675","659",
"Gangwon","Total","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","450","462","494","545","169","159","205","254","245","276","180","251","154","157","115","122","154",
"Gangwon","Total","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","459","468","502","557","173","162","208","254","249","277","183","253","154","160","115","125","157",
"Gangwon","Total","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","0","0","1","0","1","0","1","","1","","-","-","4","-","","-","3",
"Gangwon","Total","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","0","0","1","0","1","0","1","","1","","-","-","4","-","-","-","3",
"Gangwon","Total","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","40","46","51","78","90","56","56","59","61","75","47","48","36","50","47","54","88",
"Gangwon","Total","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","42","49","51","80","91","58","56","59","63","75","48","51","37","53","53","59","96",
"Gangwon","Total","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","328","312","276","330","301","325","363","346","339","311","318","320","345","319","345","360","336",
"Gangwon","Total","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","328","319","277","336","301","327","363","346","341","311","318","320","346","322","354","366","345",
"Gangwon","Total","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","27","49","46","70","79","68","99","120","105","138","159","133","155","129","127","131","113",
"Gangwon","Total","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","27","50","46","70","80","68","99","122","106","138","160","133","155","134","127","134","117",
"Gangwon","Total","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","396","421","431","504","472","540","570","456","422","477","441","484","469","551","581","625","598",
"Gangwon","Total","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","522","556","546","626","604","672","701","564","522","617","560","587","565","647","727","741","689",
"Gangwon","Total","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","264","319","399","467","469","488","541","525","430","331","292","382","400","372","367","424","413",
"Gangwon","Total","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","275","324","407","479","477","496","551","532","436","340","294","393","411","380","374","432","419",
"Gangwon","Total","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Received Person[Person]","Person","56","42","54","70","51","207","56","44","28","","","","","","","","",
"Gangwon","Total","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Count[Unit]","Surgery","57","43","54","71","51","213","56","44","28","","","","","","","","",
"Gangwon","Total",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Received Person[Person]","Person","","","","","","","","","","49","73","66","80","103","165","182","175",
"Gangwon","Total",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Count[Unit]","Surgery","","","","","","","","","","49","73","66","80","105","167","183","179",
"Gangwon","Total","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Received Person[Person]","Person","0","0","4","6","5","6","6","5","4","2","1","3","-","1","3","2","3",
"Gangwon","Total","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Count[Unit]","Surgery","0","0","4","6","6","6","6","5","4","2","1","3","-","1","3","4","3",
"Gangwon","Total","Hemorrhoidectomy - 치핵 수술","Surgery Received Person[Person]","Person","6169","5904","6216","5896","5319","4879","5150","4964","4661","4392","4221","4078","3837","3844","3759","3439","3526",
"Gangwon","Total","Hemorrhoidectomy - 치핵 수술","Surgery Count[Unit]","Surgery","6388","6133","6445","6081","5417","4915","5187","5006","4693","4415","4243","4135","3886","3897","3796","3482","3584",
"Gangwon","Total","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Received Person[Person]","Person","40","41","80","43","12","14","17","9","2","3","3","23","10","14","49","141","165",
"Gangwon","Total","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Count[Unit]","Surgery","40","42","81","44","12","14","17","9","2","3","3","25","10","14","49","146","170",
"Gangwon","Total","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Received Person[Person]","Person","1565","1779","1883","2196","2534","2427","3163","3115","2961","2903","3238","3323","3419","3617","3460","3581","3731",
"Gangwon","Total","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Count[Unit]","Surgery","1595","1825","1920","2247","2599","2487","3289","3257","3096","3033","3385","3480","3599","3822","3687","3809","3974",
"Gangwon","Total","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Received Person[Person]","Person","","","","1154","1226","1195","1306","1309","1285","1309","1423","1303","1422","1367","870","844","950",
"Gangwon","Total","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Count[Unit]","Surgery","","","","1170","1237","1215","1366","1357","1342","1357","1456","1327","1449","1390","898","866","967",
"Gangwon","Total","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Received Person[Person]","Person","769","675","754","166","253","98","216","129","79","77","71","76","175","196","90","90","50",
"Gangwon","Total","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Count[Unit]","Surgery","787","689","781","169","263","98","221","130","81","82","74","80","178","196","91","90","50",
"Gangwon","Total","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Received Person[Person]","Person","","","","","","","","","","","","","","","","","17",
"Gangwon","Total","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Count[Unit]","Surgery","","","","","","","","","","","","","","","","","17",
"Gangwon","Medical Insurance","Total","Surgery Received Person[Person]","Person","31053","33599","34717","36682","36171","34736","35799","35357","35433","35593","36685","36320","36080","38143","35864","37330","37452",
"Gangwon","Medical Insurance","Total","Surgery Count[Unit]","Surgery","34645","37857","39948","42520","42243","41006","41255","41027","41628","41469","42623","42261","41987","44725","42265","44358","44872",
"Gangwon","Medical Insurance","Cataract surgery - 백내장 수술","Surgery Received Person[Person]","Person","6406","7759","8945","9665","9954","10210","9364","9506","9934","10032","10227","10139","9934","11104","10466","11234","11233",
"Gangwon","Medical Insurance","Cataract surgery - 백내장 수술","Surgery Count[Unit]","Surgery","8783","10870","12863","13762","14430","14805","13448","13911","14697","14563","14678","14485","14215","15756","14887","15955","15903",
"Gangwon","Medical Insurance","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Received Person[Person]","Person","1341","1129","1065","1333","1051","1024","1030","1042","902","729","892","927","947","981","722","470","376",
"Gangwon","Medical Insurance","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Count[Unit]","Surgery","1345","1129","1071","1344","1065","1031","1039","1046","913","737","910","942","965","999","729","476","384",
"Gangwon","Medical Insurance","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Received Person[Person]","Person","92","105","124","146","203","183","153","236","275","280","287","270","273","294","255","263","253",
"Gangwon","Medical Insurance","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Count[Unit]","Surgery","92","105","124","146","205","189","156","240","277","287","295","271","277","299","263","269","263",
"Gangwon","Medical Insurance","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","1064","1265","1344","1507","1568","1693","1714","1660","1836","1747","1907","1930","1888","1959","1759","1947","1768",
"Gangwon","Medical Insurance","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Count[Unit]","Surgery","1096","1292","1378","1539","1598","1721","1749","1699","1866","1771","1953","1973","1918","2005","1819","2009","1816",
"Gangwon","Medical Insurance","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Received Person[Person]","Person","27","17","25","31","14","18","19","24","12","29","47","46","47","72","87","110","117",
"Gangwon","Medical Insurance","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Count[Unit]","Surgery","27","17","25","31","14","18","19","24","12","30","47","46","48","72","87","110","117",
"Gangwon","Medical Insurance","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Received Person[Person]","Person","28","22","29","25","24","13","11","13","8","12","14","12","9","25","16","21","13",
"Gangwon","Medical Insurance","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Count[Unit]","Surgery","28","22","29","26","24","13","11","13","8","12","14","12","9","28","17","22","14",
"Gangwon","Medical Insurance","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Received Person[Person]","Person","536","796","170","683","756","590","605","593","604","497","475","395","339","358","281","235","182",
"Gangwon","Medical Insurance","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Count[Unit]","Surgery","543","799","218","683","766","596","611","597","606","500","477","396","341","360","284","236","183",
"Gangwon","Medical Insurance","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Received Person[Person]","Person","3029","3211","3236","3331","2921","2583","2808","2525","2493","2478","2345","2272","2094","2284","2043","2038","1822",
"Gangwon","Medical Insurance","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","3029","3211","3238","3332","2924","2586","2812","2529","2494","2484","2358","2287","2109","2301","2099","2142","1969",
"Gangwon","Medical Insurance","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","163","135","141","176","188","169","258","303","284","322","344","398","393","335","381","408","476",
"Gangwon","Medical Insurance","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","169","136","141","180","191","173","264","307","293","333","358","424","417","363","423","450","522",
"Gangwon","Medical Insurance","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","818","922","929","1111","1190","1273","1417","1475","1471","1564","1727","1731","2035","2148","2097","2282","2314",
"Gangwon","Medical Insurance","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","818","922","929","1111","1191","1273","1418","1476","1473","1566","1730","1736","2048","2172","2143","2355","2380",
"Gangwon","Medical Insurance","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","482","381","560","714","745","764","776","769","887","865","947","1035","1062","1100","1113","1578","1487",
"Gangwon","Medical Insurance","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","511","427","609","855","857","902","996","973","1100","1018","1125","1251","1328","1417","1472","2086","2142",
"Gangwon","Medical Insurance","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","816","815","838","829","832","782","807","805","769","810","744","816","726","732","702","736","696",
"Gangwon","Medical Insurance","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Count[Unit]","Surgery","826","825","846","839","841","794","816","818","779","823","757","834","735","748","715","749","722",
"Gangwon","Medical Insurance","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Received Person[Person]","Person","162","139","172","185","178","193","186","164","244","297","324","278","226","219","182","176","194",
"Gangwon","Medical Insurance","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Count[Unit]","Surgery","162","139","172","185","179","195","187","165","246","299","325","278","230","224","182","178","204",
"Gangwon","Medical Insurance","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Received Person[Person]","Person","27","51","48","48","62","61","81","77","49","52","44","58","49","69","67","49","22",
"Gangwon","Medical Insurance","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Count[Unit]","Surgery","27","51","48","49","62","61","81","77","49","52","44","58","49","70","70","49","24",
"Gangwon","Medical Insurance","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Received Person[Person]","Person","2257","2319","2250","2066","1554","962","838","983","905","907","1033","912","902","917","817","848","787",
"Gangwon","Medical Insurance","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Count[Unit]","Surgery","2261","2327","2259","2072","1556","962","839","983","905","908","1034","915","907","920","820","853","803",
"Gangwon","Medical Insurance","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","4207","4934","4628","4251","4392","4261","4517","4253","4228","4467","4406","4192","4084","4151","4286","4321","4549",
"Gangwon","Medical Insurance","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","4208","4936","4630","4255","4395","4264","4523","4259","4231","4471","4409","4200","4086","4154","4296","4341","4597",
"Gangwon","Medical Insurance","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","197","210","226","185","185","173","148","165","560","593","596","564","634","624","601","602","670",
"Gangwon","Medical Insurance","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","202","211","227","189","190","179","155","171","582","609","623","582","678","691","681","674","775",
"Gangwon","Medical Insurance","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","451","455","518","660","805","780","934","939","931","1077","1377","1408","1447","1637","1500","1544","1658",
"Gangwon","Medical Insurance","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","484","469","539","678","821","797","950","984","997","1149","1451","1513","1554","1769","1618","1658","1853",
"Gangwon","Medical Insurance","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","121","155","182","54","408","410","331","340","357","362","468","454","531","517","509","616","600",
"Gangwon","Medical Insurance","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","121","156","185","56","412","414","338","345","366","372","481","461","545","545","538","643","624",
"Gangwon","Medical Insurance","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","426","442","469","518","149","141","187","237","226","246","164","225","142","141","98","108","137",
"Gangwon","Medical Insurance","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","435","447","477","530","153","144","189","237","230","247","166","227","142","144","98","108","140",
"Gangwon","Medical Insurance","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","0","0","1","0","1","0","1","","1","","-","-","4","-","","-","3",
"Gangwon","Medical Insurance","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","0","0","1","0","1","0","1","","1","","-","-","4","-","-","-","3",
"Gangwon","Medical Insurance","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","33","37","46","68","79","50","52","53","54","66","39","41","29","46","40","50","80",
"Gangwon","Medical Insurance","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","34","40","46","69","80","52","52","53","56","66","40","43","30","49","45","54","88",
"Gangwon","Medical Insurance","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","283","267","236","293","264","294","327","311","297","289","293","290","309","297","313","334","298",
"Gangwon","Medical Insurance","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","283","267","237","298","264","296","327","311","299","289","293","290","310","300","321","339","305",
"Gangwon","Medical Insurance","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","25","41","39","61","70","58","90","105","96","118","146","121","136","112","113","120","97",
"Gangwon","Medical Insurance","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","25","41","39","61","71","58","90","106","97","118","147","121","136","115","113","123","101",
"Gangwon","Medical Insurance","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","351","364","374","437","413","474","495","395","364","413","385","416","389","486","492","536","519",
"Gangwon","Medical Insurance","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","456","473","460","538","525","585","615","485","450","524","485","506","460","562","616","630","586",
"Gangwon","Medical Insurance","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","254","310","378","448","448","461","522","503","408","315","275","364","385","361","346","409","391",
"Gangwon","Medical Insurance","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","265","314","385","460","456","469","532","510","413","324","276","375","394","368","352","417","397",
"Gangwon","Medical Insurance","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Received Person[Person]","Person","50","35","43","62","41","183","52","39","25","","","","","","","","",
"Gangwon","Medical Insurance","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Count[Unit]","Surgery","51","35","43","63","41","187","52","39","25","","","","","","","","",
"Gangwon","Medical Insurance",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Received Person[Person]","Person","","","","","","","","","","41","67","62","74","87","143","160","160",
"Gangwon","Medical Insurance",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Count[Unit]","Surgery","","","","","","","","","","41","67","62","74","89","145","160","164",
"Gangwon","Medical Insurance","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Received Person[Person]","Person","0","0","4","5","4","6","6","5","4","1","1","2","-","1","2","1","3",
"Gangwon","Medical Insurance","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Count[Unit]","Surgery","0","0","4","5","5","6","6","5","4","1","1","2","-","1","2","2","3",
"Gangwon","Medical Insurance","Hemorrhoidectomy - 치핵 수술","Surgery Received Person[Person]","Person","5976","5714","6003","5686","5139","4723","4982","4793","4508","4254","4117","3971","3721","3770","3678","3364","3439",
"Gangwon","Medical Insurance","Hemorrhoidectomy - 치핵 수술","Surgery Count[Unit]","Surgery","6186","5912","6225","5869","5237","4758","5019","4833","4538","4275","4137","4025","3770","3822","3715","3407","3497",
"Gangwon","Medical Insurance","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Received Person[Person]","Person","39","40","72","38","12","14","16","9","2","2","2","23","8","14","47","135","161",
"Gangwon","Medical Insurance","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Count[Unit]","Surgery","39","40","73","38","12","14","16","9","2","2","2","25","8","14","47","140","166",
"Gangwon","Medical Insurance","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Received Person[Person]","Person","1363","1576","1659","1948","2221","2162","2845","2784","2681","2595","2909","2979","3053","3229","3070","3199","3396",
"Gangwon","Medical Insurance","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Count[Unit]","Surgery","1388","1600","1689","1991","2276","2215","2962","2902","2794","2709","3026","3109","3206","3402","3269","3397","3619",
"Gangwon","Medical Insurance","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Received Person[Person]","Person","","","","1106","1174","1141","1262","1265","1234","1254","1375","1257","1371","1320","844","814","906",
"Gangwon","Medical Insurance","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Count[Unit]","Surgery","","","","1122","1185","1159","1320","1311","1286","1301","1406","1280","1397","1342","871","836","921",
"Gangwon","Medical Insurance","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Received Person[Person]","Person","733","632","713","142","212","90","190","120","75","72","70","71","160","183","81","87","48",
"Gangwon","Medical Insurance","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Count[Unit]","Surgery","751","644","738","144","216","90","193","121","77","77","73","75","163","183","81","87","48",
"Gangwon","Medical Insurance","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Received Person[Person]","Person","","","","","","","","","","","","","","","","","15",
"Gangwon","Medical Insurance","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Count[Unit]","Surgery","","","","","","","","","","","","","","","","","15",
"Gangwon","Medical Benefit","Total","Surgery Received Person[Person]","Person","1723","1860","2095","2291","2191","1965","1943","1982","1936","1929","2029","2076","2186","2191","2149","2097","2083",
"Gangwon","Medical Benefit","Total","Surgery Count[Unit]","Surgery","1888","2233","2386","2732","2552","2256","2187","2286","2247","2261","2352","2424","2565","2579","2564","2511","2569",
"Gangwon","Medical Benefit","Cataract surgery - 백내장 수술","Surgery Received Person[Person]","Person","214","357","414","554","458","370","363","311","345","341","365","409","402","478","450","403","455",
"Gangwon","Medical Benefit","Cataract surgery - 백내장 수술","Surgery Count[Unit]","Surgery","262","488","570","803","638","498","496","444","483","506","525","571","560","665","655","572","665",
"Gangwon","Medical Benefit","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Received Person[Person]","Person","74","65","68","59","63","60","44","44","30","23","28","37","40","29","17","12","14",
"Gangwon","Medical Benefit","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Count[Unit]","Surgery","74","68","68","60","63","60","44","45","30","23","28","38","41","30","17","13","14",
"Gangwon","Medical Benefit","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Received Person[Person]","Person","15","17","10","22","19","20","16","13","30","31","31","30","35","31","24","31","39",
"Gangwon","Medical Benefit","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Count[Unit]","Surgery","15","17","10","24","19","20","17","13","32","31","31","30","36","31","25","31","40",
"Gangwon","Medical Benefit","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","134","139","160","156","165","165","145","167","154","144","169","166","169","159","152","154","139",
"Gangwon","Medical Benefit","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Count[Unit]","Surgery","140","155","163","160","169","168","145","170","155","144","171","168","176","165","161","165","141",
"Gangwon","Medical Benefit","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Received Person[Person]","Person","1","1","5","7","2","5","3","7","3","4","6","9","8","11","13","11","10",
"Gangwon","Medical Benefit","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Count[Unit]","Surgery","1","1","5","7","2","5","3","7","3","4","6","9","8","11","13","11","10",
"Gangwon","Medical Benefit","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Received Person[Person]","Person","2","1","2","2","3","4","2","2","","1","1","1","1","6","","1","2",
"Gangwon","Medical Benefit","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Count[Unit]","Surgery","2","1","2","2","3","4","2","2","","1","1","1","1","7","-","1","2",
"Gangwon","Medical Benefit","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Received Person[Person]","Person","16","13","2","15","30","16","16","8","20","10","15","13","12","7","9","13","13",
"Gangwon","Medical Benefit","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Count[Unit]","Surgery","16","15","2","15","30","16","16","8","22","10","15","13","12","7","9","13","13",
"Gangwon","Medical Benefit","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Received Person[Person]","Person","190","199","244","219","159","166","145","135","106","108","121","87","79","85","91","84","75",
"Gangwon","Medical Benefit","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","190","214","244","219","159","166","145","136","107","108","123","89","81","88","95","96","86",
"Gangwon","Medical Benefit","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","29","23","23","31","18","29","38","38","50","34","41","41","46","43","39","59","54",
"Gangwon","Medical Benefit","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","31","27","26","32","18","29","39","38","51","36","42","43","51","47","42","62","61",
"Gangwon","Medical Benefit","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","61","64","76","111","99","101","106","122","121","115","134","154","182","168","171","169","151",
"Gangwon","Medical Benefit","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","61","70","76","111","100","101","107","124","122","116","135","154","184","172","180","183","163",
"Gangwon","Medical Benefit","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","56","53","68","99","117","88","88","123","115","108","119","126","151","127","129","174","175",
"Gangwon","Medical Benefit","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","60","61","76","117","146","106","109","148","136","133","142","156","192","175","166","230","264",
